,Age
1967,Adult
1968,Adult
1969,Adult
1970,Adult
1971,Adult
1972,Adult
1973,Adult
1974,Adult
1975,Adult
1976,Adult
1977,Adult
1978,Adult
1979,Adult
1980,Adult
1981,Adult
1982,Adult
1983,Adult
1984,Adult
1985,Adult
1986,Adult
1987,Adult
1988,Adult
1989,Adult
1990,Adult
1991,Adult
1992,Adult
1993,Adult
1994,Adult
1995,Adult
1996,Adult
1997,Adult
1998,Adult
1999,Adult
2000,Adult
2001,Adult
2002,Adult
2003,Adult
2004,Adult
2005,Adult
2006,Adult
2007,Adult
2008,Adult
2009,Adult
2010,Adult
2011,Adult
2012,Adult
2013,Adult
2014,Adult
2015,Adult
2016,Adult
2017,Adult
2018,Adult
2019,Adult
2020,Adult
2021,Adult
2022,Adult
2023,Adult
2024,Adult
2025,Adult
2026,Adult
2027,Adult
2028,Adult
2029,Adult
2030,Adult
2031,Adult
2032,Adult
2033,Adult
2034,Adult
2035,Adult
2036,Adult
2037,Adult
2038,Adult
2039,Adult
2040,Adult
2041,Adult
2042,Adult
2043,Adult
2044,Adult
2045,Adult
2046,Adult
2047,Adult
2048,Adult
2049,Adult
2050,Adult
2051,Adult
2052,Adult
2053,Adult
2054,Adult
2055,Adult
2056,Adult
2057,Adult
2058,Adult
2059,Adult
2060,Adult
2061,Adult
2062,Adult
2063,Adult
2064,Adult
2065,Adult
2066,Adult
2067,Adult
2068,Adult
2069,Adult
2070,Adult
2071,Adult
2072,Adult
2073,Adult
2074,Adult
2075,Adult
2076,Adult
2077,Adult
2078,Adult
2079,Adult
2080,Adult
2081,Adult
2082,Adult
2083,Adult
2084,Adult
2085,Adult
2086,Adult
2087,Adult
2088,Adult
2089,Adult
2090,Adult
2091,Adult
2092,Adult
2093,Adult
2094,Adult
2095,Adult
2096,Adult
2097,Adult
2098,Adult
2099,Adult
2100,Adult
2101,Adult
2102,Adult
2103,Adult
2104,Adult
2105,Adult
2106,Adult
2107,Adult
2108,Adult
2109,Adult
2110,Adult
2111,Adult
2112,Adult
2113,Adult
2114,Adult
2115,Adult
2116,Adult
2117,Adult
2118,Adult
2119,Adult
2120,Adult
2121,Adult
2122,Adult
2123,Adult
2124,Adult
2125,Adult
2126,Adult
2127,Adult
2128,Adult
2129,Adult
2130,Adult
2131,Adult
2132,Adult
2133,Adult
2134,Adult
2135,Adult
2136,Adult
2137,Adult
2138,Adult
